out/HighwayEnv/DQNAgent/test/run_20210125-031145_15760_exp_merge_1106-test,exp_merge_1106 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 95 and speed= 25
out/HighwayEnv/DQNAgent/test/run_20210125-031710_15781_exp_merge_1105-test,exp_merge_1105 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 95 and speed= 23
out/HighwayEnv/DQNAgent/test/run_20210125-032245_15778_exp_merge_1107-test,exp_merge_1107 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 95 and speed= 27
out/HighwayEnv/DQNAgent/test/run_20210125-032525_15766_exp_merge_1109-test,exp_merge_1109 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 100 and speed= 23
out/HighwayEnv/DQNAgent/test/run_20210125-033213_15761_exp_merge_1110-test,exp_merge_1110 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 100 and speed= 25
out/HighwayEnv/DQNAgent/test/run_20210125-033358_15789_exp_merge_1111-test,exp_merge_1111 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag Trueinitial_position= 100 and speed= 27
out/HighwayEnv/DQNAgent/train/run_20210125-143506_27461_exp_merge_1205,exp_merge_1205 similar to configs/experiments/IEEE_Access/exp_base_1200.json cooperative_flag True sympathy_flag True collision_reward= -5 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 4
out/HighwayEnv/DQNAgent/train/run_20210125-143506_27462_exp_merge_1204,exp_merge_1204 similar to configs/experiments/IEEE_Access/exp_base_1200.json cooperative_flag True sympathy_flag True collision_reward= -5 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/train/run_20210125-143506_27465_exp_merge_1203,exp_merge_1203 similar to configs/experiments/IEEE_Access/exp_base_1200.json cooperative_flag True sympathy_flag True collision_reward= -5 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 4
out/HighwayEnv/DQNAgent/train/run_20210125-143506_27449_exp_merge_1201,exp_merge_1201 similar to configs/experiments/IEEE_Access/exp_base_1200.json cooperative_flag True sympathy_flag True collision_reward= -5 and successful_merging_reward= 2 and high_speed_reward= 1 and cooperative_reward= 4
out/HighwayEnv/DQNAgent/train/run_20210125-143506_27454_exp_merge_1202,exp_merge_1202 similar to configs/experiments/IEEE_Access/exp_base_1200.json cooperative_flag True sympathy_flag True collision_reward= -5 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/train/run_20210125-143506_27448_exp_merge_1200,exp_merge_1200 similar to configs/experiments/IEEE_Access/exp_base_1200.json cooperative_flag True sympathy_flag True collision_reward= -5 and successful_merging_reward= 2 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/train/run_20210125-143639_28369_exp_merge_1200,exp_merge_1200 similar to configs/experiments/IEEE_Access/exp_base_1200.json cooperative_flag True sympathy_flag True collision_reward= -5 and successful_merging_reward= 2 and high_speed_reward= 1 and cooperative_reward= 0.5
out/HighwayEnv/DQNAgent/train/run_20210125-143639_28406_exp_merge_1205,exp_merge_1205 similar to configs/experiments/IEEE_Access/exp_base_1200.json cooperative_flag True sympathy_flag True collision_reward= -5 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 4
